index,hamming_distance,cosine_similarity
442,0,0.9988880573587016
477,0,0.9701265576292144
169,0,0.9694253315381088
358,0,0.9659310014986051
35,0,0.9514698439972027
119,0,0.9270022971450959
255,0,0.9130035576628035
398,0,0.8717574315013177
464,1,0.9969867136567783
446,1,0.9926626577047358
328,1,0.9781388807746518
220,1,0.9779313316679084
302,1,0.9609460788351463
327,1,0.9519551212027414
208,1,0.9432782927507056
341,1,0.9403811045344616
305,1,0.9255089799680281
167,1,0.9165293222468414
232,1,0.8837364498022713
217,1,0.8785017113753053
482,1,0.8049086248052004
418,1,0.796575999069002
218,1,0.7448298315596871
110,1,0.6816993749688611
368,2,0.9650765676501056
