actual,gbr_forecast,seasonal_naive
2946.7385567478655,2975.4477283282013,2954.7923918669735
3028.2063142756206,2951.903292344382,3050.94170286945
2976.9362327283366,2957.3236317525334,2987.144315905918
2652.834162487713,2713.332217578094,2676.9905332458166
2736.5896628939286,2724.992806495358,2759.805999059937
2957.253204273687,2953.6890205763116,2990.636329675779
2988.201390066433,3014.963700963367,3088.317551760121
3033.667111252072,2965.5091330740865,2946.7385567478655
3022.78119127437,2929.264069958101,3028.2063142756206
2809.571660677695,2974.78322620791,2976.9362327283366
2744.3926412747337,2739.114282415996,2652.834162487713
2761.8615151932318,2754.060782280085,2736.5896628939286
2706.8643421509028,2995.578124771795,2957.253204273687
2976.179589760474,2980.2706896730224,2988.201390066433
2960.8488117608745,2984.017963467025,3033.667111252072
3028.2661223845394,2943.9091689372026,3022.78119127437
2915.406674490633,2915.396305356947,2809.571660677695
2732.624207967483,2730.965561397715,2744.3926412747337
2702.899298227001,2752.6708296402285,2761.8615151932318
2984.275454971838,2856.455373953488,2706.8643421509028
2948.085664981706,2968.6393978812935,2976.179589760474
2989.9608747030347,2986.4908876764175,2960.8488117608745
2929.4022964962537,2989.755055350974,3028.2661223845394
2890.4026660595646,2911.3014205363156,2915.406674490633
2665.1039546941793,2760.564024953712,2732.624207967483
2709.681805270806,2717.9506371900366,2702.899298227001
2980.553144001616,2903.029478850756,2984.275454971838
2993.599224941624,2992.6266692603367,2948.085664981706
2939.5788504185584,3009.2973890478343,2989.9608747030347
3046.3567972069904,2973.2235454081306,2929.4022964962537
2837.8317221777365,2944.3333631328983,2890.4026660595646
2689.9587101022867,2725.593003849109,2665.1039546941793
2766.3950885798236,2743.5826813958383,2709.681805270806
2907.2312309786926,2941.3770617344767,2980.553144001616
2990.4134045300616,2992.6266692603367,2993.599224941624
2929.5024024157765,2987.9185433629696,2939.5788504185584
2948.6537500808477,2968.7603263537603,3046.3567972069904
2904.9384289876557,2922.4856414114647,2837.8317221777365
2627.4916082585673,2729.894002265084,2689.9587101022867
2631.3797051568718,2734.098689619936,2766.3950885798236
