lag,autocorrelation
1,0.974109144851579
2,0.946903744067878
3,0.9369815105300239
4,0.9367762637655833
5,0.946268408210835
6,0.9726086734476489
7,0.9898313089465821
8,0.9723092703924613
9,0.9445094889277534
10,0.9337793992433826
11,0.9330674492258688
12,0.9435085114353204
13,0.9700839701781363
14,0.9866238123173001
15,0.9684087398899882
16,0.9408958025579641
17,0.9290205778302031
18,0.9287426360246287
19,0.9379438746596657
20,0.9653873540073824
21,0.9820468239262059
22,0.963880974316382
23,0.934734696067015
24,0.9231543311792724
25,0.9217864153721511
26,0.9318327327843338
27,0.9590018831966676
28,0.9748792294958233
29,0.9563180855717857
30,0.9263233740109112
31,0.9145767715828256
32,0.9136879493961865
33,0.9227705049922087
34,0.9507894838992823
35,0.9670514614892871
36,0.9473376062041341
37,0.9170599939159786
38,0.9044738304540649
39,0.9034148535552748
40,0.9118405234338309
