demand_mw,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_std_7,anomaly_flag
953.7122685889494,,,,,,,,,,False
931.1544133014754,953.7122685889494,,,,,,,,,False
999.9962517285973,931.1544133014754,953.7122685889494,,,,,,,,False
1026.315358933427,999.9962517285973,931.1544133014754,953.7122685889494,,,,,,,False
776.8455461529887,1026.315358933427,999.9962517285973,931.1544133014754,,,,,,,False
641.0668463798523,776.8455461529887,1026.315358933427,999.9962517285973,,,,,,,False
775.4913605790281,641.0668463798523,776.8455461529887,1026.315358933427,,,,,,,False
940.7451206165133,775.4913605790281,641.0668463798523,776.8455461529887,953.7122685889494,,,,872.0831493806169,142.63635027833172,False
992.8513753855138,940.7451206165133,775.4913605790281,641.0668463798523,931.1544133014754,,,,870.2306996702688,141.4790342100806,False
944.1695114099387,992.8513753855138,940.7451206165133,775.4913605790281,999.9962517285973,,,,879.04455139656,147.69238644368102,False
1040.569130056399,944.1695114099387,992.8513753855138,940.7451206165133,1026.315358933427,,,,871.0693027796087,141.4478470147187,False
917.3235039132956,1040.569130056399,944.1695114099387,992.8513753855138,776.8455461529887,,,,873.1055557971764,144.13234066977125,False
720.9900392538793,917.3235039132956,1040.569130056399,944.1695114099387,641.0668463798523,,,,893.17383547722,138.15141228338777,False
839.4894665578714,720.9900392538793,917.3235039132956,1040.569130056399,775.4913605790281,,,,904.591434459224,115.24732177648146,False
995.7085095606493,839.4894665578714,720.9900392538793,917.3235039132956,940.7451206165133,953.7122685889494,,,913.7340210276303,105.41821473267183,False
975.301253417871,995.7085095606493,839.4894665578714,720.9900392538793,992.8513753855138,931.1544133014754,,,921.5859337339353,109.7243892075046,False
1020.177455370173,975.301253417871,995.7085095606493,839.4894665578714,944.1695114099387,999.9962517285973,,,919.0787734528434,108.01174392011498,False
979.536449650942,1020.177455370173,975.301253417871,995.7085095606493,1040.569130056399,1026.315358933427,,,929.9370511614485,114.5755238104227,False
944.2032166961117,979.536449650942,1020.177455370173,975.301253417871,917.3235039132956,776.8455461529887,,,921.2180968178117,106.81276939468464,False
738.7794058829052,944.2032166961117,979.536449650942,1020.177455370173,720.9900392538793,641.0668463798523,,,925.0580557867853,107.13211246113882,False
804.1065449291082,738.7794058829052,944.2032166961117,979.536449650942,839.4894665578714,775.4913605790281,,,927.5993938766461,101.55007661711016,False
